zone,start_local,start_utc,duration_sec,accuracy,source
Reihe 1,2026-05-16 14:00:00,2026-05-16 12:00:00,8,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-16 14:30:00,2026-05-16 12:30:00,116,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-16 15:00:00,2026-05-16 13:00:00,116,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-16 15:30:00,2026-05-16 13:30:00,116,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-16 16:00:00,2026-05-16 14:00:00,118,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-16 17:00:00,2026-05-16 15:00:00,116,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-16 17:30:00,2026-05-16 15:30:00,116,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-17 07:00:00,2026-05-17 05:00:00,117,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-17 08:00:00,2026-05-17 06:00:00,116,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-17 09:00:00,2026-05-17 07:00:00,117,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-17 09:30:00,2026-05-17 07:30:00,117,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-17 10:00:00,2026-05-17 08:00:00,113,stunde_rekonstruiert,ha_lts_power_energy
Reihe 1,2026-05-17 10:00:00,2026-05-17 08:00:00,9,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-17 10:30:00,2026-05-17 08:30:00,113,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-17 11:00:00,2026-05-17 09:00:00,116,stunde_rekonstruiert,ha_lts_power_energy
Reihe 2,2026-05-17 11:00:00,2026-05-17 09:00:00,72,stunde_rekonstruiert,ha_lts_power_energy
Reihe 3,2026-05-17 11:00:00,2026-05-17 09:00:00,72,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-17 11:30:00,2026-05-17 09:30:00,116,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-17 12:00:00,2026-05-17 10:00:00,118,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-17 12:30:00,2026-05-17 10:30:00,118,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-17 13:00:00,2026-05-17 11:00:00,118,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-17 13:30:00,2026-05-17 11:30:00,118,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-17 14:00:00,2026-05-17 12:00:00,117,stunde_rekonstruiert,ha_lts_power_energy
Reihe 1,2026-05-17 14:00:00,2026-05-17 12:00:00,8,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-17 15:00:00,2026-05-17 13:00:00,116,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-17 15:30:00,2026-05-17 13:30:00,116,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-17 16:00:00,2026-05-17 14:00:00,117,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-17 16:30:00,2026-05-17 14:30:00,117,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-17 17:00:00,2026-05-17 15:00:00,116,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-17 17:30:00,2026-05-17 15:30:00,116,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-18 07:00:00,2026-05-18 05:00:00,115,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-18 08:00:00,2026-05-18 06:00:00,119,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-18 09:00:00,2026-05-18 07:00:00,115,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-18 09:30:00,2026-05-18 07:30:00,115,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-18 10:00:00,2026-05-18 08:00:00,116,stunde_rekonstruiert,ha_lts_power_energy
Reihe 1,2026-05-18 10:00:00,2026-05-18 08:00:00,9,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-18 10:30:00,2026-05-18 08:30:00,116,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-18 11:00:00,2026-05-18 09:00:00,117,stunde_rekonstruiert,ha_lts_power_energy
Reihe 2,2026-05-18 11:00:00,2026-05-18 09:00:00,72,stunde_rekonstruiert,ha_lts_power_energy
Reihe 3,2026-05-18 11:00:00,2026-05-18 09:00:00,72,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-18 11:30:00,2026-05-18 09:30:00,117,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-18 12:00:00,2026-05-18 10:00:00,118,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-18 12:30:00,2026-05-18 10:30:00,118,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-18 13:00:00,2026-05-18 11:00:00,114,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-18 13:30:00,2026-05-18 11:30:00,114,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-18 14:00:00,2026-05-18 12:00:00,118,stunde_rekonstruiert,ha_lts_power_energy
Reihe 1,2026-05-18 14:00:00,2026-05-18 12:00:00,8,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-18 14:30:00,2026-05-18 12:30:00,118,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-18 15:00:00,2026-05-18 13:00:00,115,stunde_rekonstruiert,ha_lts_power_energy
